ID,requester_ID,approvedBy_ID,department,itemDescription,quantity,estimatedUnitCost,status,statusCriticality,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c3d4-e5f6-7890-abcd-ef1234560001,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,Information Technology,Laptop computers for new hires,10.000,1200.00,Accepted,3,2024-01-10T09:00:00Z,vamsi.kiran,2024-01-12T11:00:00Z,sai.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560002,550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440006,Human Resources,Office chairs and desks,25.000,350.00,Accepted,3,2024-01-11T09:00:00Z,manju.nath,2024-01-13T11:00:00Z,amar.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560003,550e8400-e29b-41d4-a716-446655440001,,Finance,Financial reporting software licenses,5.000,800.00,Submitted,5,2024-01-12T09:00:00Z,vamsi.kiran,2024-01-12T09:00:00Z,vamsi.kiran
a1b2c3d4-e5f6-7890-abcd-ef1234560004,550e8400-e29b-41d4-a716-446655440007,,Operations,Industrial safety gloves,100.000,15.00,Rejected,1,2024-01-13T09:00:00Z,bala.krishna,2024-01-13T09:00:00Z,bala.krishna
a1b2c3d4-e5f6-7890-abcd-ef1234560005,550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440002,Marketing,Promotional banners and materials,50.000,45.00,Accepted,3,2024-01-14T09:00:00Z,manju.nath,2024-01-16T11:00:00Z,sai.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560006,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440006,IT,Network switches and cables,8.000,500.00,Rejected,2,2024-01-15T09:00:00Z,vamsi.kiran,2024-01-17T11:00:00Z,amar.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560007,550e8400-e29b-41d4-a716-446655440007,,Facilities,Cleaning supplies monthly stock,200.000,8.50,Submitted,5,2024-01-16T09:00:00Z,bala.krishna,2024-01-16T09:00:00Z,bala.krishna
a1b2c3d4-e5f6-7890-abcd-ef1234560008,550e8400-e29b-41d4-a716-446655440005,,Operations,Forklift maintenance parts,3.000,2500.00,Rejected,1,2024-01-17T09:00:00Z,manju.nath,2024-01-18T11:00:00Z,amar.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560009,550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440002,IT,External hard drives 2TB,15.000,95.00,Accepted,3,2024-01-18T09:00:00Z,vamsi.kiran,2024-01-20T11:00:00Z,sai.nath
a1b2c3d4-e5f6-7890-abcd-ef1234560010,550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440006,Warehouse,Packing materials and tapes,500.000,2.00,Accepted,3,2024-01-19T09:00:00Z,bala.krishna,2024-01-21T11:00:00Z,amar.nath